XCP=,0.493302,,,,,,,,,
Panel,CtrlPt.x,CtrlPt.y,CtrlPt.z,Nx,Ny,Nz,Area,Cp,,
Main WingCp Coefficients,,,,,,,,,,
Strip 1,,,,,,,,,,
238,1.30E-01,-3.96E+00,2.18E-02,-0.136,0,0.991,3.71E-04,0.0827,,
239,1.10E-01,-3.96E+00,1.89E-02,-0.146,0,0.989,3.45E-04,0.0449,,
240,9.11E-02,-3.96E+00,1.61E-02,-0.155,0,0.988,3.16E-04,0.002,,
241,7.38E-02,-3.96E+00,1.34E-02,-0.163,0,0.987,2.87E-04,-0.0505,,
242,5.83E-02,-3.96E+00,1.08E-02,-0.17,0,0.985,2.56E-04,-0.1126,,
243,4.45E-02,-3.96E+00,8.39E-03,-0.176,0,0.984,2.24E-04,-0.1912,,
244,3.25E-02,-3.96E+00,6.22E-03,-0.182,0,0.983,1.92E-04,-0.2958,,
245,2.23E-02,-3.96E+00,4.33E-03,-0.187,0,0.982,1.58E-04,-0.4403,,
246,1.40E-02,-3.96E+00,2.75E-03,-0.19,0,0.982,1.24E-04,-0.6555,,
247,7.63E-03,-3.96E+00,1.51E-03,-0.193,0,0.981,8.87E-05,-1.0155,,
248,3.20E-03,-3.96E+00,6.38E-04,-0.195,0,0.981,5.34E-05,-1.7817,,
249,7.40E-04,-3.96E+00,1.48E-04,-0.196,0,0.981,1.78E-05,-4.3913,,
Strip 6,,,,,,,,,,
250,1.00E+00,-3.94E+00,3.28E-05,0.132,0,0.991,2.15E-05,0.0386,,
251,9.98E-01,-3.94E+00,2.29E-04,0.132,0,0.991,6.44E-05,0.0672,,
252,9.95E-01,-3.94E+00,6.85E-04,0.131,0,0.991,1.07E-04,0.0987,,
253,9.89E-01,-3.94E+00,1.40E-03,0.129,0,0.992,1.49E-04,0.1297,,
254,9.82E-01,-3.94E+00,2.35E-03,0.128,0,0.992,1.91E-04,0.16,,
255,9.73E-01,-3.94E+00,3.53E-03,0.126,0,0.992,2.32E-04,0.1893,,
256,9.62E-01,-3.94E+00,4.93E-03,0.123,0,0.992,2.72E-04,0.2147,,
257,9.49E-01,-3.94E+00,6.52E-03,0.12,0,0.993,3.10E-04,0.2372,,
258,9.34E-01,-3.94E+00,8.29E-03,0.117,0,0.993,3.48E-04,0.2557,,
259,9.18E-01,-3.94E+00,1.02E-02,0.113,0,0.994,3.84E-04,0.2698,,
260,9.00E-01,-3.94E+00,1.23E-02,0.109,0,0.994,4.18E-04,0.2789,,
261,8.80E-01,-3.94E+00,1.44E-02,0.105,0,0.994,4.51E-04,0.2854,,
262,8.59E-01,-3.94E+00,1.66E-02,0.1,0,0.995,4.82E-04,0.2874,,
263,8.36E-01,-3.94E+00,1.88E-02,0.095,0,0.995,5.11E-04,0.286,,
264,8.13E-01,-3.94E+00,2.11E-02,0.09,0,0.996,5.38E-04,0.2827,,
265,7.87E-01,-3.94E+00,2.33E-02,0.084,0,0.996,5.63E-04,0.2774,,
266,7.61E-01,-3.94E+00,2.55E-02,0.079,0,0.997,5.86E-04,0.2706,,
267,7.34E-01,-3.94E+00,2.76E-02,0.072,0,0.997,6.06E-04,0.2628,,
268,7.06E-01,-3.94E+00,2.96E-02,0.066,0,0.998,6.24E-04,0.2545,,
269,6.77E-01,-3.94E+00,3.15E-02,0.06,0,0.998,6.40E-04,0.2462,,
270,6.47E-01,-3.94E+00,3.32E-02,0.053,0,0.999,6.53E-04,0.2384,,
271,6.17E-01,-3.94E+00,3.48E-02,0.046,0,0.999,6.63E-04,0.2318,,
272,5.86E-01,-3.94E+00,3.61E-02,0.04,0,0.999,6.71E-04,0.2269,,
273,5.55E-01,-3.94E+00,3.73E-02,0.033,0,0.999,6.76E-04,0.224,,
